word,romaji,explanation,properties,examples
もしゃもしゃ,moshamosha,"tousled, shaggy (hair), scraggly (beard), dishevelled, disheveled, unkempt",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
もぞもぞ,mozomozo,"creeping about, stirring restlessly, squirming",onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb; adverb taking the と particle,
ヨレヨレ,yoreyore,"worn-out, shabby, seedy, wrinkled-up, threadbare",onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の,
くつくつ,kutsukutsu,stifled (laughter); simmering,onomatopoeic or mimetic word; adverb; adverb taking the と particle,
チリチリ,chirichiri,"frizzy (hair), wiry, kinky, curled up (leaves, etc.), shrivelled up; sizzling, frizzling; stingingly (of heat or cold), painfully, piercingly, bitingly; cowering (in fear), shrinking back, being petrified",onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
にゃんにゃん,nyannyan,"meow, miaow; cat; sexual intercourse, making out",onomatopoeic or mimetic word; interjection; children's language; noun; noun (generic); slang; noun or participle taking the aux. verb する,
ぺちゃくちゃ,pechakucha,"chattering, chit-chat, (ladies) prattle",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),(学校にて) “はいそこ、ぺちゃくちゃ喋ってないで授業に集中しなさい。”; 道端で数人がぺちゃくちゃ喋っているのを井戸端会議という。
りんりん,rinrin,bell ringing (chiming),onomatopoeic or mimetic word; adverb,
房房,fusafusa,"in tufts, tufty, bushy, thick, luxuriant",usually written using kana alone; onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
落ち落ち,ochiochi,"quietly, calmly, comfortably, peacefully",rarely-used kanji form; usually written using kana alone; onomatopoeic or mimetic word; adverb,
どさくさ,dosakusa,"confusion, bustle, turmoil, trouble; to rush around, to act frantically",noun; noun (generic); onomatopoeic or mimetic word; rare term; noun or participle taking the aux. verb する; adverb,
のんどり,nondori,"tranquil, leisurely, relaxed",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
しょぼしょぼ,shoboshobo,"drizzling (rain); blearily, weakly (blinking); dejectedly, gloomily",onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ボコボコ,bokoboko,"with a burble; hollow (sounding); holey, full of holes or dents, lumpy, bumpy; viciously beating, hitting and kicking repeatedly; here and there; (sound of) walking slowly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); colloquial; noun; noun (generic); noun or participle taking the aux. verb する,
じゃーん,ja-n,"ta-dah!, ta-da!, voilà!; clash, crash, bang",interjection; onomatopoeic or mimetic word; adverb taking the と particle,
ジーンと,ji-nto,"(being moved) deeply, (feeling) profoundly, (going) straight to one's heart, (moved) to tears; going numb, stinging (pain)",onomatopoeic or mimetic word; adverb,
とことん,tokoton,"the very end, finish; to the very end, to the last, thoroughly, completely, fully",onomatopoeic or mimetic word; noun; noun (generic); adverb,
ガシャン,gashan,"crash, smash, crunch, bang, breaking sound",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
ガツン,gatsun,"klop, klunk, whonk, crash, thump; with a heavy impact, forcibly",onomatopoeic or mimetic word; noun; noun (generic); adverb taking the と particle,
ドスン,dosun,"bam, whomp, thump",onomatopoeic or mimetic word; interjection; adverb taking the と particle,
ポツリポツリ,potsuripotsuri,"intermittently, bit by bit, little by little, by ones and twos; in drops (e.g. of rain)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
うようよ,uyouyo,"in swarms, crawling with",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
うんと,unto,"a great deal, very much, a lot; with a great amount of effort",JLPT N2; onomatopoeic or mimetic word; adverb; archaic,
ガクンと,gakunto,"suddenly, with a jerk",onomatopoeic or mimetic word; adverb,
がぶり,gaburi,"emphatically (bite, gulp, chew, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ガラリ,garari,"(opening a door) with a clatter, noisily, flinging (open), forcefully; (falling) with a clatter, with a crash; (changing) completely, totally, utterly, dramatically, suddenly; louvre window, louvre door",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun; noun (generic),
きょとん,kyoton,"(looking) blankly, vacantly, dazedly, (staring) in puzzlement, with a look of amazement",onomatopoeic or mimetic word; adverb taking the と particle,くじ引きでハワイ旅行が当たったので一瞬きょとんとしてしまった。
ぎゃあぎゃあ,gyaagyaa,"screaming, squawking, squealing; loud complaining, noisy conversation",onomatopoeic or mimetic word; adverb; noun; noun (generic),
くすくす,kusukusu,"chuckle, giggle",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぐいっと,guitto,"suddenly and forcefully (e.g. jerk, poke, shove); in a single gulp, in one go",onomatopoeic or mimetic word; adverb,
グサリと,gusarito,"deeply (stab, thrust, etc.), hard",onomatopoeic or mimetic word; adverb,
ぐつぐつ,gutsugutsu,"simmering, (boiling) gently",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
こっくり,kokkuri,"nodding (in agreement, with approval, etc.); repeatedly nodding and dozing off; suddenly (dying); deep (flavor, flavour, color, colour, etc.), rich",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun or verb acting prenominally; adjective (generic),
こっくりこっくり,kokkurikokkuri,"niddle-noddle, nid-nod, nodding off",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
こってり,kotteri,"thickly, heavily, richly; severely, strongly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),この店のラーメンはこってりした味だよ。好みが分かれるかも。; とんこつラーメンは、豚の背脂などがはいってこってりしている。
こんがり,kongari,"well-cooked, well-done, browned",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
こんもり,konmori,"thickly, densely, luxuriantly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ゴシゴシ,goshigoshi,"scrubbing hard, scrubbing clean",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),買って欲しいものがあるのでお風呂で父親の背中をごしごしと洗った。
ごみごみ,gomigomi,"squalid, messy",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
じろり,jirori,glancing (look),onomatopoeic or mimetic word; adverb; adverb taking the と particle,
すくすく,sukusuku,"(growing) quickly (esp. children, plants), (developing) quickly, fast, rapidly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
滑々,subesube,"smooth (skin, stone, etc.), sleek, velvety, silky",rarely-used kanji form; onomatopoeic or mimetic word; usually written using kana alone; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
すらっと,suratto,"slender, slim",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ズバズバ,zubazuba,"straightforwardly, in an outspoken manner",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ちらほら,chirahora,"here and there, in twos and threes, sporadically, sparsely; now and then, from time to time, occasionally",onomatopoeic or mimetic word; adverb; adverb taking the と particle,十年以上会っていない同級生の噂を最近ちらほらと聞く。; 今度の会議では新しいプロジェクトについて報告がされるのではないかという話がちらほら聞こえる。; 前はあんなに仲がよかったのに、あの二人は別れたらしいという噂がちらほら上がっている。
てきぱき,tekipaki,"briskly, quickly, promptly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
とっぷり,toppuri,"completely, fully, entirely",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
どかっと,dokatto,"thuddingly, plumping down (like a heavy weight)",onomatopoeic or mimetic word; adverb,僕の部屋に遊びにきた友達は、自分の家でもないのにどかっと乱暴にソファに座った。もとから繊細なタイプではないのを知っていたけど、なんか嫌だった。; 先生にこっぴどく怒られたあと、ゆうじは不機嫌そうにどかっと席に座った。
どかどか,dokadoka,"noisily, with loud footsteps; in a crowd, incessantly, all together",onomatopoeic or mimetic word; adverb; adverb taking the と particle,僕の仲のいい友達たちは、まるで自分の家かのように、僕の家にドカドカと入ってくる。遠慮を知らないようだ。; 僕たちが深夜にドカドカと家に入っていったせいで、ゆうじはすっかり機嫌を損ねてしまった。少しやりすぎてしまった、反省する。
どぎまぎ,dogimagi,"flurried, flustered, upset, nervous, embarrassed",onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb; adverb taking the と particle,
どっかと,dokkato,"with a thump, floppingly",onomatopoeic or mimetic word; adverb,
どっさり,dossari,"heaps, a lot, plenty, oodles; with a thud",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun taking the genitive case particle の; adjective (generic),栗を拾いにおばあちゃんの家に行ったらどっさりと収穫できた。; 田中： 今夜飲みに行かない？上田： いや、今夜は仕事がどっさり残ってるから無理だ。
どんより,donyori,"dark, gloomy, overcast, gray; heavy, leaden, dull, lackluster, glazed",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),今日は分厚い雲が空を覆っていてどんよりとした天気だ。自分までどんよりした気持ちになってくる。; 昨日彼女に振られたらしく、まさとはどんよりとしている。心配なので放課後カラオケに誘ってみようと思う。
のほほん,nohohon,"nonchalantly, without a care",onomatopoeic or mimetic word; adverb taking the と particle,のほほんとしちゃって。。。たまには真剣に将来のこと考えたら？; 僕がのほほんとしていたころ、君は大変だったんだね。
のらくら,norakura,"idly, lazily, aimlessly; evasively, elusively, vaguely, non-committally; laziness, fooling around, lazy person",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun; な adjective; adjective (generic),
のらりくらり,norarikurari,"idly, lazily, aimlessly; evasively, elusively, vaguely, non-committally; soft and slippery",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぶらり,burari,"dangling; aimlessly, casually, idly; unexpectedly",onomatopoeic or mimetic word; adverb taking the と particle; adverb,高校を卒業した記念に友達とぶらり旅に出た。; 自転車に乗っていて車に弾かれた。腕がぶらりと垂れ下がっていた.; お隣の家の壁にブドウの実がぶらりと垂れ下がっている。; 会社に行く気がしなかったので、通勤途中で電車をおりて、ぶらりとその辺を散歩した。; お母さん： おかえり、どこに行ってたの？ 娘: 近所をぶらりと散歩していたんだよ。
ぶんぶん,bunbun,"buzz, hum; shake (with vigor), shaking",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぷんと,punto,"angrily, sulkily, in a huff; (smelling) strongly, pungently, reeking",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぺったんこ,pettanko,"crushed flat, flattened, squashed, flat-topped; flat-chested girl, flat chested girl; sound of a sticky rice cake sticking to something",onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; colloquial; manga slang; noun; noun (generic),
ぺろっと,perotto,"(eating up) quickly, in no time, gobbling up; quickly (sticking out one's tongue); licking, licking up; (peeling off) in one go, completely",onomatopoeic or mimetic word; adverb,
ほっそり,hossori,"slim, slender, slight, delicate",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぽっかり,pokkari,"lightly; wide (open), gapingly, agape; suddenly, unexpectedly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ポツリ,potsuri,"isolated, standing alone; falling in drops (e.g. rain); saying a single word, muttering just a few words",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
メラメラ,meramera,"flaring up, bursting into flames",onomatopoeic or mimetic word; adverb; adverb taking the と particle,次のテストで満点を取ったらゲームが買ってもらえるのでメラメラと燃えている。; 落ち葉をちょっと燃やそうと思って一枚火をつけたら辺り一面がメラメラと燃えてしまった。; 彼の目は怒りでメラメラと燃えていた。; 炎がメラメラと燃え上がる中、消防士たちは必死に消火活動を行った。
もくもく,mokumoku,"rising (smoke, clouds, etc.), rolling up, billowing up",onomatopoeic or mimetic word; adverb taking the と particle; adverb,彼はとても集中していて、もくもくと勉強しています。; 彼はもくもくと荷物をまとめ、無言で家を出て行った。
もぐもぐ,mogumogu,"mumbling, chewing one's words; chewing (food); squirming, wriggling",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb taking the と particle,和正： 何をもぐもぐ食べてるの？正弘： 食べてるんじゃなくて入れ歯をもぐもぐ動かしてるだけさ。; いただきまーす！もぐもぐ; もぐもぐしながら話さないで！行儀が悪いよ！
ぷにぷに,punipuni,"squishy, springy, bouncy",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぺこん,pekon,"sound of thin metal or plastic surface caving in and springing back; action of quickly bowing or lowering one's head, (with a) bob of the head",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
みっちり,micchiri,"intensely, severely, strictly, hard, fully, earnestly, diligently; tightly, compactly, closely",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぬめっと,numetto,"glistening, shiny, sleek, slippery",onomatopoeic or mimetic word; adverb,
じろじろ,jirojiro,"staringly, scrutinizing, scrutinising",onomatopoeic or mimetic word; adverb; adverb taking the と particle,サングラスとマスクを付けていると知らない人からジロジロと見られる。
どたどた,dotadota,noisily (esp. the noise of heavy feet),onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),さっき家を出た娘が忘れ物をしたらしく、どたどたと家に帰ってきた。; まゆは運動神経が悪いようで、走る時ドタドタ走る。
カンカン,kankan,"extremely angry, furious, enraged; fiercely (shine), blazingly, intensely; merrily (burn away), red-hot; with a clang",onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; adverb taking the と particle,
わっと,watto,suddenly and in a loud voice (e.g. sobbing),onomatopoeic or mimetic word; adverb,
おっとり,ottori,"gently, quietly, calmly",onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ずぶり,zuburi,"(stabbing) through, (plunging) into",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
しょぼん,shobon,"downheartedly, dejectedly, dispiritedly, despondently",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ひたひた,hitahita,"lapping (e.g. of waves against the shore); steadily (advancing), gradually (approaching); sufficient (of the amount of liquid needed to cover a submerged object), just enough; speedily, promptly, quickly, smoothly; closely, exactly",onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun taking the genitive case particle の; adjective (generic); な adjective; archaic,
ごろっと,gorotto,"slumping, flopping down; heavily rotating",onomatopoeic or mimetic word; adverb,
むっちり,mucchiri,"plump, chubby, voluptuous",onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),"むっちりとした太ももってたまらないよね。; ""彼女ってどんな子？""""う〜ん、むっちり系かな？"""
うふふ,ufufu,tee-hee,female term; onomatopoeic or mimetic word; interjection,
うろちょろ,urochoro,"loitering, hanging around, wandering around",onomatopoeic or mimetic word; noun; noun (generic); noun or participle taking the aux. verb する,
えへへ,ehehe,"heh heh heh, tee-hee, giggle",onomatopoeic or mimetic word; interjection,
ギンッ,ginxtsu,"sharply (glare, stare, etc.), piercingly, stinging; clashing (of swords, etc.)",onomatopoeic or mimetic word; adverb taking the と particle,
うつらうつら,utsurautsura,"drowsily, nodding off",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ガーガー,ga-ga-,"quacking, cackling, gaggling, croaking, squawking; loudly (snore, complain, argue, etc.), noisily; with a buzzing sound (e.g. speaker), with a crackling sound",onomatopoeic or mimetic word; adverb; adverb taking the と particle,あひるの親子がガーガーと鳴きながら道路を渡っている。かわいらしい！; 日本ではあひるの鳴き声はガーガーと表現される。
カーカー,ka-ka-,caw caw (cry of a crow); crow,onomatopoeic or mimetic word; adverb; adverb taking the と particle; slang; children's language; noun; noun (generic),
メーメー,me-me-,"baa (sound made by sheep), meh",onomatopoeic or mimetic word; interjection,
こけこっこう,kokekokkou,"cock-a-doodle-doo (sound made by cockerels, roosters); cockerel, rooster",onomatopoeic or mimetic word; adverb; children's language; noun; noun (generic),
チューチュー,chu-chu-,"squeak, cheep, peep; slurp, sucking noisily; mouse",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); children's language; noun,屋根裏からネズミのチュウチュウ鳴く声が聞こえた。; あのシェークをチューチュー飲んでる人うるさくない？
どっぷり,doppuri,"totally (immersed in something, e.g. liquid, work), addicted",onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; adverb taking the と particle,友達に勧められて始めた釣り。今ではその魅力にどっぷりはまってしまい、毎週末釣りに出かけている。; 美智子： 新しくできた彼女とは順調なの？隆介： もう本当に可愛くってさ。知ればしるほど好きになるよ。もうどっぷりはまっちゃってる。美智子： 幸せそうで羨ましいよ。
ポキッと,pokixtsuto,"snappingly, with a snap",onomatopoeic or mimetic word; adverb,
ぽっくり,pokkuri,"(dying) suddenly; (breaking) brittly, with a snap; softly and swellingly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ごっそり,gossori,"completely, entirely, all; in large amounts, a lot",onomatopoeic or mimetic word; adverb; adverb taking the と particle,由梨： 家に泥棒が入った！安藤： 何か取られたの？由梨： 私の下着がごっそりと盗まれている！
とろん,toron,"appearing drowsy or intoxicated (of eyes, actions, etc.)",onomatopoeic or mimetic word; adverb taking the と particle,
だらり,darari,"languidly, loosely",onomatopoeic or mimetic word; adverb taking the と particle,今日はとても暑い。飼っている犬も庭で舌をだらりとだして寝ている。かわいそうなのでクーラーの効いている部屋にいれてやった。; 彼は酔っ払ってしまい、顔をテーブルに突っ伏し、腕をだらりと降ろして寝てしまった。
ビュービュー,byu-byu-,"whistling sound, wheezing sound, sound of the wind, wuthering, howling, soughing, moaning",onomatopoeic or mimetic word; noun; noun (generic); noun or verb acting prenominally; adjective (generic); adverb taking the と particle,台風が過ぎ去った後なのに風がまだびゅうびゅう吹いている。; 古い家で肝試しをするために様子を見に行ったら隙間風がびゅうびゅう吹いていて不気味だった。
スコスコ,sukosuko,"repeatedly, leaving no stone unturned, walking rapidly; masturbation",onomatopoeic or mimetic word; adverb; colloquial; noun; noun (generic); noun or participle taking the aux. verb する,
ゼーゼー,ze-ze-,"gasping for breath, puffing and panting, wheezing",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ちまちま,chimachima,"small, compact",onomatopoeic or mimetic word; adverb taking the と particle; adverb,その洋服はちまちまと小さな飾りがたくさんついていて、ハンドメイドなことがすぐ分かった。; 彼には夢がなく、考え方がちまちましている。聞いてるこちらがイライラするよ！
戛戛,katsukatsu,"clicking, clopping, clacking",usually written using kana alone; onomatopoeic or mimetic word; adverb taking the と particle,
おめおめ,omeome,"shamelessly, acting brazenly unaffected; being resigned to (disgrace)",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
ちんたら,chintara,"dilatorily, sluggishly; to take a lot of time, to become late, to take it easy",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
げんなり,gennari,"to be weary, to be worn out, to be tired; to be fed up (with), to be sick of; to be dejected, to be dispirited, to be disheartened",onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb; adverb taking the と particle,
えへらえへら,eheraehera,"with a meaningless laugh, with a hollow laugh",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ごにょごにょ,gonyogonyo,"mumblingly, mutteringly, unintelligibly",onomatopoeic or mimetic word; adverb,
くだくだ,kudakuda,"tediously, lengthily, wordily",onomatopoeic or mimetic word; adverb taking the と particle,
キンキラキン,kinkirakin,"gaudy, flashy, showy, glittery, sparkly, shiny",onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective,
ぼけっと,boketto,"absent-mindedly, idly, vacantly, doing nothing",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
かしゃっ,kashaxtsu,with a click,onomatopoeic or mimetic word; adverb taking the と particle,
かたり,katari,"with a clatter, clatteringly",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
カチャカチャ,kachakacha,"clink, clatter, clang",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),上司は仕事ができるがカチャカチャとパソコンの操作がうるさい。
かちり,kachiri,"with a clink (click, clack)",onomatopoeic or mimetic word; adverb taking the と particle,
かっきり,kakkiri,"exactly, just, precisely; punctually, exactly on time; clearly delineated (of boundaries, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
メー,me-,"baa (sound of a sheep), meh",onomatopoeic or mimetic word; interjection,
どさどさ,dosadosa,throwing down multiple objects in succession; at once in great numbers,onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
どっかり,dokkari,"plunking (down something heavy), flumping (into a chair)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),前田くんは、部長の前にもかかわらず、椅子にどっかりと座って態度が悪い。社会人としてどうなんだろうか。; 山田社長はそのバーの常連で、わたしがその店にいくと大抵奥のソファ席にどっかり座っている。
のうのう,nounou,"carefree, relaxed, comfortable, at one's ease",onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ギラッと,giraxtsuto,dazzlingly,onomatopoeic or mimetic word; adverb,
クラッと,kuraxtsuto,dizzyingly; to feel dizzy,onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ゴーっ,go-xtsu,"roaringly, rumblingly",onomatopoeic or mimetic word; adverb taking the と particle,
チカチカ,chikachika,"flickering, flashing on and off, twinkling, glittering; glaringly (bright), painfully (bright); prickling (pain)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),バイクを運転するときはチカチカとライトが点滅する車に気をつけよう。; ずっと暗いところにいたので明るいところに出ると目がチカチカする。
ピシャッと,pishaxtsuto,"slapping, splatting",onomatopoeic or mimetic word; adverb,
ピリッと,pirixtsuto,"tingling, stinging, pungently",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),この料理、ピリッと辛いよ。辛いの無理な人はきついかも。; その紙は薄く、簡単にピリッと破ける。
ベロベロ,berobero,"licking; dead drunk, blind drunk",onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic),
カリカリ,karikari,"crisp (e.g. potato chip, fried fish, etc.), crunchy; grumpily, touchily, edgily, irritably; scratching",onomatopoeic or mimetic word; な adjective; adjective (generic); adverb taking the と particle; adverb; noun or participle taking the aux. verb する; noun (generic),幸子： 何かカリカリ音がするよ。紀子： 木の上でリスがどんぐりをかりかり食べてる音だよ。; ボーナスが低かったので妻がカリカリと怒っている。
からころ,karakoro,clip-clop (esp. of geta),onomatopoeic or mimetic word; adverb; adverb taking the と particle,
にゅっと,nyutto,"suddenly (appear, stick out), abruptly, unexpectedly, looming (e.g. out of the dark); (stand) still and expressionless, imposingly; suddenly (stand up)",obsolete reading; onomatopoeic or mimetic word; adverb,
かちゃり,kachari,"with a clang or a clink, tinkle",onomatopoeic or mimetic word; adverb taking the と particle,
ひらり,hirari,"nimbly, lightly",onomatopoeic or mimetic word; adverb taking the と particle,
ふっくら,fukkura,"fully, luxuriantly, fluffy, plump, soft and full",onomatopoeic or mimetic word; adverb taking the と particle,朝食のホットケーキが久しぶりにふっくら焼けた。; 友達が最近結婚して食事をちゃんと取っているので顔がふっくらしている。
わなわな,wanawana,"trembling from fear, trembling all over",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぱちり,pachiri,"(with a) click (e.g. camera shutter), (with a) snap",onomatopoeic or mimetic word; adverb taking the と particle,
どさっと,dosatto,with a thud,onomatopoeic or mimetic word; adverb,
がさっ,gasaxtsu,"with a swoosh, at one fell swoop",onomatopoeic or mimetic word; adverb taking the と particle,
ビンビン,binbin,"hard (e.g. penis), strong (e.g. beat of music), throbbing (e.g. headache), blaring (e.g. rock music)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun taking the genitive case particle の; adjective (generic); な adjective,
ほっこり,hokkori,"warm and fluffy, soft; steamy hot (food), hot and flaky; feeling mentally tired, feeling of tired relief or accomplishment after effort or perseverance",onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); expression; Kansai-ben,せっかく温泉街に来たんだから温泉に入ってほっこりしましょうよ。; 寒い中コンビニであつあつの肉まん食べてほっこりする。
ぱたり,patari,"with a clink, with a flop; suddenly, all of a sudden",onomatopoeic or mimetic word; adverb taking the と particle,
ぷいと,puito,"suddenly in a bad mood, in a huff; abruptly, suddenly, unexpectedly",onomatopoeic or mimetic word; adverb,
すうすう,suusuu,"sound of wind rustling through a crack, wheezing",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ピーピー,pi-pi-,"peep, chirp, beep, whistling, chirping, piping, etc. sound made by birds, insects, pipes, children, etc.; poor, hard up, pinched; the runs, diarrhea, diarrhoea; flute, pipe; beginner, novice",onomatopoeic or mimetic word; noun; noun (generic); adverb; noun or participle taking the aux. verb する,
ざぶざぶ,zabuzabu,"splashing, sloshing",onomatopoeic or mimetic word; adverb taking the と particle,
頓と,tonto,completely; not at all,ateji; onomatopoeic or mimetic word; usually written using kana alone; adverb,
ぶくり,bukuri,sound of something floating or sinking in water,onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ヒーヒー,hi-hi-,"whaa whaa, sound of a baby crying",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぐしゃぐしゃ,gushagusha,"soggy, soaked, drenched, sopping (wet), sloppy, sodden, muddy; crushed (out of shape), crumpled; messy, untidy, disorganized",onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),いくら頑張ってもいいポエムが書けないので紙をぐしゃぐしゃにした。; 大輔： 目が腫れてるけどどうしたの？夏喜： 好きな人に振られて昨日一晩中ぐしゃぐしゃに泣いたの。
けろり,kerori,"completely, entirely; nonchalantly, as if nothing happened",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ギーギー,gi-gi-,"with a (heavy) creak, with a (dull) squeak, with a grating sound, with a rasping sound",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ついつい,tsuitsui,"unintentionally, unconsciously, by mistake, heedlessly, against one's better judgement (judgment)",onomatopoeic or mimetic word; adverb,
がさごそ,gasagoso,rustling (sound),onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ガシャッ,gashaxtsu,(with a) crack,onomatopoeic or mimetic word; adverb taking the と particle,
ガタゴト,gatagoto,"rattling, clattering",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
